Label,Final Loss,Runtime (seconds)
RNN_generate_sinusoidal_data_bi-LSTM_lr0.01_batch1_noise0.2_length24,0.22189225256443024,3.1022543907165527
RNN_generate_sinusoidal_data_LSTM_lr0.001_batch1_noise0.2_length24,0.6148778796195984,2.871962785720825
RNN_generate_sinusoidal_data_bi-RNN_lr0.001_batch1_noise0.2_length24,0.9538022875785828,1.7218868732452393
RNN_generate_sinusoidal_data_bi-LSTM_lr0.001_batch1_noise0.2_length24,0.47981998324394226,3.399916410446167
RNN_generate_sinusoidal_data_LSTM_lr0.0001_batch1_noise0.2_length24,0.44451799988746643,2.005674123764038
RNN_generate_sinusoidal_data_bi-RNN_lr0.0001_batch1_noise0.2_length24,0.8539162278175354,1.8933706283569336
RNN_generate_sinusoidal_data_bi-LSTM_lr0.0001_batch1_noise0.2_length24,0.4062071740627289,3.45037579536438
LTC_generate_noisy_data_FullyConnected_lr0.01_batch1_noise0.2_length24,0.5133228302001953,5.827650308609009
LTC_generate_noisy_data_RandomSparsity75_lr0.01_batch1_noise0.2_length24,0.5170897841453552,5.838346004486084
LTC_generate_noisy_data_AutoNCP_lr0.01_batch1_noise0.2_length24,0.4851825535297394,5.546706438064575
LTC_generate_noisy_data_FullyConnected_lr0.001_batch1_noise0.2_length24,0.4951614439487457,5.475376129150391
LTC_generate_noisy_data_RandomSparsity75_lr0.001_batch1_noise0.2_length24,0.5872201323509216,5.607102155685425
LTC_generate_noisy_data_AutoNCP_lr0.001_batch1_noise0.2_length24,0.4875221252441406,5.49138879776001
LTC_generate_noisy_data_FullyConnected_lr0.0001_batch1_noise0.2_length24,0.704983651638031,5.692843914031982
LTC_generate_noisy_data_RandomSparsity75_lr0.0001_batch1_noise0.2_length24,0.7611470222473145,5.705449819564819
LTC_generate_noisy_data_AutoNCP_lr0.0001_batch1_noise0.2_length24,0.6479505896568298,5.3920464515686035
RNN_generate_noisy_data_LSTM_lr0.01_batch1_noise0.2_length24,0.3237855136394501,1.926002025604248
RNN_generate_noisy_data_bi-RNN_lr0.01_batch1_noise0.2_length24,0.3164465129375458,1.7079880237579346
RNN_generate_noisy_data_bi-LSTM_lr0.01_batch1_noise0.2_length24,0.4048960506916046,3.272006034851074
RNN_generate_noisy_data_LSTM_lr0.001_batch1_noise0.2_length24,0.5481947064399719,2.399855613708496
RNN_generate_noisy_data_bi-RNN_lr0.001_batch1_noise0.2_length24,0.6299055218696594,1.7015182971954346
RNN_generate_noisy_data_bi-LSTM_lr0.001_batch1_noise0.2_length24,0.5090324282646179,3.4024367332458496
RNN_generate_noisy_data_LSTM_lr0.0001_batch1_noise0.2_length24,0.5483058094978333,2.0122077465057373
RNN_generate_noisy_data_bi-RNN_lr0.0001_batch1_noise0.2_length24,1.3357988595962524,2.0068836212158203
RNN_generate_noisy_data_bi-LSTM_lr0.0001_batch1_noise0.2_length24,0.5544168949127197,3.521942138671875
LTC_generate_sinusoidal_data_FullyConnected_lr0.01_batch1_noise0.5_length24,0.4274848401546478,5.878351449966431
LTC_generate_sinusoidal_data_RandomSparsity75_lr0.01_batch1_noise0.5_length24,0.47219839692115784,5.481351137161255
LTC_generate_sinusoidal_data_AutoNCP_lr0.01_batch1_noise0.5_length24,0.47906944155693054,5.326327562332153
LTC_generate_sinusoidal_data_FullyConnected_lr0.001_batch1_noise0.5_length24,0.7928576469421387,11.849630117416382
LTC_generate_sinusoidal_data_RandomSparsity75_lr0.001_batch1_noise0.5_length24,0.5742234587669373,5.612824440002441
LTC_generate_sinusoidal_data_AutoNCP_lr0.001_batch1_noise0.5_length24,0.5017449855804443,6.140183448791504
LTC_generate_sinusoidal_data_FullyConnected_lr0.0001_batch1_noise0.5_length24,0.5250339508056641,5.833062410354614
LTC_generate_sinusoidal_data_RandomSparsity75_lr0.0001_batch1_noise0.5_length24,1.2404327392578125,6.862112998962402
LTC_generate_sinusoidal_data_AutoNCP_lr0.0001_batch1_noise0.5_length24,0.4993736445903778,5.535715103149414
RNN_generate_sinusoidal_data_LSTM_lr0.01_batch1_noise0.5_length24,0.20033669471740723,2.0241503715515137
RNN_generate_sinusoidal_data_bi-RNN_lr0.01_batch1_noise0.5_length24,0.40345498919487,1.6209492683410645
RNN_generate_sinusoidal_data_bi-LSTM_lr0.01_batch1_noise0.5_length24,0.3340267837047577,3.8596866130828857
RNN_generate_sinusoidal_data_LSTM_lr0.001_batch1_noise0.5_length24,0.2469106912612915,2.3599343299865723
RNN_generate_sinusoidal_data_bi-RNN_lr0.001_batch1_noise0.5_length24,1.6571364402770996,1.7063863277435303
RNN_generate_sinusoidal_data_bi-LSTM_lr0.001_batch1_noise0.5_length24,0.5602867007255554,3.4629759788513184
RNN_generate_sinusoidal_data_LSTM_lr0.0001_batch1_noise0.5_length24,0.5023838877677917,2.7225563526153564
RNN_generate_sinusoidal_data_bi-RNN_lr0.0001_batch1_noise0.5_length24,0.8682263493537903,2.212000846862793
RNN_generate_sinusoidal_data_bi-LSTM_lr0.0001_batch1_noise0.5_length24,0.554997444152832,3.5188138484954834
LTC_generate_noisy_data_FullyConnected_lr0.01_batch1_noise0.5_length24,0.4646722376346588,5.379140615463257
LTC_generate_noisy_data_RandomSparsity75_lr0.01_batch1_noise0.5_length24,0.46337589621543884,5.479672193527222
LTC_generate_noisy_data_AutoNCP_lr0.01_batch1_noise0.5_length24,0.47317472100257874,6.573449611663818
LTC_generate_noisy_data_FullyConnected_lr0.001_batch1_noise0.5_length24,0.5779076218605042,7.839182615280151
LTC_generate_noisy_data_RandomSparsity75_lr0.001_batch1_noise0.5_length24,0.6552112102508545,6.086764097213745
LTC_generate_noisy_data_AutoNCP_lr0.001_batch1_noise0.5_length24,0.4680873453617096,5.287135601043701
LTC_generate_noisy_data_FullyConnected_lr0.0001_batch1_noise0.5_length24,0.7920632362365723,6.653739929199219
LTC_generate_noisy_data_RandomSparsity75_lr0.0001_batch1_noise0.5_length24,0.8893725275993347,5.397431135177612
LTC_generate_noisy_data_AutoNCP_lr0.0001_batch1_noise0.5_length24,0.5129004120826721,6.8185484409332275
RNN_generate_noisy_data_LSTM_lr0.01_batch1_noise0.5_length24,0.30829498171806335,2.6349289417266846
RNN_generate_noisy_data_bi-RNN_lr0.01_batch1_noise0.5_length24,0.3344092071056366,1.6803157329559326
RNN_generate_noisy_data_bi-LSTM_lr0.01_batch1_noise0.5_length24,0.33101901412010193,3.5167384147644043
RNN_generate_noisy_data_LSTM_lr0.001_batch1_noise0.5_length24,0.5951283574104309,4.1677539348602295
RNN_generate_noisy_data_bi-RNN_lr0.001_batch1_noise0.5_length24,0.6523956060409546,1.775447130203247
RNN_generate_noisy_data_bi-LSTM_lr0.001_batch1_noise0.5_length24,0.5255763530731201,3.8297204971313477
RNN_generate_noisy_data_LSTM_lr0.0001_batch1_noise0.5_length24,0.463399738073349,2.598858118057251
RNN_generate_noisy_data_bi-RNN_lr0.0001_batch1_noise0.5_length24,0.7294216156005859,1.960660457611084
RNN_generate_noisy_data_bi-LSTM_lr0.0001_batch1_noise0.5_length24,0.495451420545578,3.9178035259246826
