label,test_loss,val_loss,epoch_1_loss,epoch_2_loss,epoch_3_loss,epoch_4_loss,epoch_5_loss,epoch_6_loss,epoch_7_loss,epoch_8_loss,epoch_9_loss,epoch_10_loss,epoch_11_loss,epoch_12_loss,epoch_13_loss,epoch_14_loss,epoch_15_loss,epoch_16_loss,epoch_17_loss,epoch_18_loss,epoch_19_loss,epoch_20_loss,epoch_21_loss,epoch_22_loss,epoch_23_loss,epoch_24_loss,epoch_25_loss
LTC_AutoNCP_4_lr0.0001_batch10_noise0_length24,0.4311997890472412,0.43119969964027405,0.5005866885185242,0.49421989917755127,0.4893019497394562,0.4855160713195801,0.4826059937477112,0.4803662896156311,0.47863057255744934,0.47726449370384216,0.47615939378738403,0.47522544860839844,0.47438567876815796,0.47357451915740967,0.47273409366607666,0.47181040048599243,0.47074800729751587,0.46948644518852234,0.4679558575153351,0.4660748541355133,0.46374842524528503,0.4608706533908844,0.4573318362236023,0.45302942395210266,0.44788452982902527,0.4418591260910034,0.4349725544452667
LTC_RandomSparsity75_4_lr0.0001_batch10_noise0_length24,0.44697853922843933,0.44697844982147217,0.7422038912773132,0.7189186215400696,0.697900652885437,0.678482711315155,0.6601793169975281,0.6426603198051453,0.6257230043411255,0.6092684864997864,0.5932841300964355,0.5778229236602783,0.562988817691803,0.5489137172698975,0.5357299447059631,0.5235437750816345,0.5124169588088989,0.5023615956306458,0.49334681034088135,0.485307902097702,0.478160560131073,0.47180917859077454,0.46615704894065857,0.4611095190048218,0.4565795063972473,0.45248711109161377,0.4487617313861847
LTC_FullyConnected_4_lr0.0001_batch10_noise0_length24,0.4409158527851105,0.4409157931804657,1.2944360971450806,1.2411150932312012,1.189692497253418,1.1400096416473389,1.091793179512024,1.044708251953125,0.9983997941017151,0.9525323510169983,0.9066462516784668,0.8599783778190613,0.8115899562835693,0.7601947784423828,0.7041326761245728,0.643247127532959,0.5860141515731812,0.5447837114334106,0.5199072360992432,0.5042790770530701,0.4927733540534973,0.4831760823726654,0.47457456588745117,0.4665619134902954,0.4589497447013855,0.45162877440452576,0.4445001482963562
LTC_AutoNCP_8_lr0.0001_batch10_noise0_length24,0.351372092962265,0.3513721227645874,0.5255789160728455,0.5106468796730042,0.49778327345848083,0.4874442219734192,0.4796929359436035,0.47370654344558716,0.4687873423099518,0.46458226442337036,0.46089187264442444,0.4575798809528351,0.45454373955726624,0.45171868801116943,0.4490724503993988,0.4464346170425415,0.4436973035335541,0.44073686003685,0.43738701939582825,0.4334065318107605,0.42846304178237915,0.42214420437812805,0.4139869809150696,0.40321624279022217,0.38945096731185913,0.37369871139526367,0.35834649205207825
LTC_RandomSparsity75_8_lr0.0001_batch10_noise0_length24,0.47944414615631104,0.47944411635398865,0.5957887768745422,0.5699604749679565,0.55137699842453,0.5376867055892944,0.5272330045700073,0.5189961194992065,0.5123467445373535,0.5068820118904114,0.5023331046104431,0.498553067445755,0.4954529106616974,0.4928136169910431,0.49055975675582886,0.4886346757411957,0.48699161410331726,0.4855911135673523,0.48439928889274597,0.483387291431427,0.48253002762794495,0.4818055331707001,0.48119470477104187,0.48068058490753174,0.4802485406398773,0.47988593578338623,0.47958141565322876
LTC_FullyConnected_8_lr0.0001_batch10_noise0_length24,0.2340143918991089,0.23401446640491486,0.47947075963020325,0.4682762622833252,0.45821794867515564,0.44961556792259216,0.4423119127750397,0.4353988766670227,0.4283050298690796,0.42092737555503845,0.4133021831512451,0.4054540991783142,0.39738523960113525,0.3890913128852844,0.3805583417415619,0.37175387144088745,0.3626123368740082,0.353021502494812,0.3428554832935333,0.33190152049064636,0.31991323828697205,0.30679967999458313,0.2928153872489929,0.2786887586116791,0.2651572823524475,0.25233104825019836,0.24008111655712128
LTC_AutoNCP_16_lr0.0001_batch10_noise0_length24,0.21898117661476135,0.21898117661476135,0.5474087595939636,0.5130314230918884,0.48420608043670654,0.4598788619041443,0.44006767868995667,0.42448025941848755,0.4119335114955902,0.4010605812072754,0.39099186658859253,0.3813851475715637,0.3721407651901245,0.36320796608924866,0.3545137643814087,0.34594735503196716,0.337344765663147,0.3284235894680023,0.3186969757080078,0.3070758879184723,0.29367825388908386,0.2800522744655609,0.26692506670951843,0.25443780422210693,0.24305620789527893,0.23285451531410217,0.2235281616449356
LTC_RandomSparsity75_16_lr0.0001_batch10_noise0_length24,0.13993586599826813,0.13993588089942932,0.5314794778823853,0.5086708068847656,0.4948877692222595,0.48668622970581055,0.48071083426475525,0.47474241256713867,0.4664420187473297,0.45646172761917114,0.4475145637989044,0.43787261843681335,0.426876425743103,0.41421055793762207,0.39987409114837646,0.38435098528862,0.36857515573501587,0.3534775674343109,0.3390985131263733,0.3248217701911926,0.31164848804473877,0.2984737157821655,0.28291380405426025,0.2534152567386627,0.20262405276298523,0.17144955694675446,0.14948278665542603
LTC_FullyConnected_16_lr0.0001_batch10_noise0_length24,0.07106473296880722,0.07106475532054901,0.4923931360244751,0.4680790603160858,0.45101889967918396,0.4363495409488678,0.4222348928451538,0.4078672528266907,0.3924552798271179,0.37558290362358093,0.35700055956840515,0.3370276093482971,0.31721457839012146,0.2989230155944824,0.28205999732017517,0.2659490406513214,0.2503032684326172,0.2349802404642105,0.2190282642841339,0.20059068500995636,0.17977146804332733,0.15872688591480255,0.1390763223171234,0.12117673456668854,0.1049387976527214,0.09033123403787613,0.07724703103303909
LTC_AutoNCP_32_lr0.0001_batch10_noise0_length24,0.06619251519441605,0.06619251519441605,0.5141791701316833,0.4880578815937042,0.46789267659187317,0.44981738924980164,0.43207764625549316,0.4137740135192871,0.3948565423488617,0.3760000169277191,0.3577071726322174,0.3402315676212311,0.3233354985713959,0.30659058690071106,0.28958457708358765,0.27181288599967957,0.25292420387268066,0.23338058590888977,0.21332797408103943,0.1931445449590683,0.17316506803035736,0.153694748878479,0.1349678784608841,0.11724173277616501,0.10073208808898926,0.08559118956327438,0.07230209559202194
